Churn,Contract,CustomerID,Dependents,DeviceProtection,Gender,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,Tenure,TotalCharges
No,Two year,3995,No,No,Male,DSL,38.6,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,0,No,No,Yes,62,2345.55
No,Month-to-month,3996,No,No,Female,DSL,25.25,No phone service,No,No,No,No,Bank transfer (automatic),No,0,No,No,No,1,25.25
No,Month-to-month,3997,No,Yes,Female,DSL,60.6,Yes,No,Yes,Yes,No,Mailed check,Yes,0,No,No,No,18,1156.35
Yes,Month-to-month,3998,No,No,Male,Fiber optic,89.95,Yes,Yes,No,Yes,Yes,Electronic check,Yes,1,No,Yes,No,69,6143.15
No,Month-to-month,3999,No,No,Male,Fiber optic,74.75,No,Yes,No,Yes,No,Electronic check,Yes,0,No,No,No,2,144.8
No,Month-to-month,4000,Yes,No internet service,Male,No,20.6,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,19,414.95
Yes,Month-to-month,4001,No,No,Male,Fiber optic,84.45,Yes,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,12,1059.55
No,Month-to-month,4002,No,No internet service,Male,No,20.4,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,9,181.8
No,One year,4003,No,Yes,Male,DSL,81.7,No,No,Yes,No,No,Electronic check,Yes,0,Yes,Yes,Yes,27,2212.55
Yes,Month-to-month,4004,Yes,No,Male,Fiber optic,79.5,Yes,No,No,Yes,No,Electronic check,Yes,0,No,No,Yes,27,2180.55
Yes,Month-to-month,4005,Yes,No,Male,Fiber optic,89.15,No,No,No,No,Yes,Mailed check,Yes,0,Yes,Yes,No,1,89.15
No,Month-to-month,4006,No,No internet service,Female,No,20.3,No,No internet service,No internet service,Yes,No,Mailed check,Yes,1,No internet service,No internet service,No internet service,24,459.95
Yes,Month-to-month,4007,No,No,Male,Fiber optic,74.95,Yes,No,No,Yes,No,Electronic check,Yes,1,No,No,No,14,1036.75
Yes,Month-to-month,4008,No,No,Female,Fiber optic,74.4,No,Yes,No,Yes,No,Electronic check,Yes,1,No,No,No,32,2276.95
No,One year,4009,No,No internet service,Female,No,20.0,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,11,211.95
No,Month-to-month,4010,No,No internet service,Male,No,25.0,Yes,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,25
No,Month-to-month,4011,Yes,No,Male,Fiber optic,80.45,Yes,No,Yes,Yes,No,Mailed check,Yes,1,No,No,No,38,3162.65
No,Two year,4012,Yes,No internet service,Female,No,19.75,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,9,210.65
No,Two year,4013,Yes,No,Male,DSL,65.65,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,54,3566.7
No,One year,4014,No,No,Female,DSL,71.0,Yes,No,No,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,29,2080.1
No,Month-to-month,4015,No,Yes,Male,Fiber optic,89.2,Yes,No,No,Yes,Yes,Electronic check,Yes,1,No,Yes,No,44,4040.2
No,Two year,4016,Yes,Yes,Male,DSL,86.75,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,59,5186
Yes,Month-to-month,4017,No,No,Female,DSL,55.3,No,No,No,Yes,No,Electronic check,Yes,0,Yes,No,No,3,196.15
No,One year,4018,Yes,No,Female,DSL,61.5,No,Yes,Yes,Yes,Yes,Mailed check,Yes,0,No,No,Yes,18,1087.45
No,Two year,4019,No,No internet service,Male,No,25.1,Yes,No internet service,No internet service,No,No,Credit card (automatic),Yes,1,No internet service,No internet service,No internet service,67,1672.15
Yes,Month-to-month,4020,Yes,No,Female,DSL,55.15,No,Yes,No,No,Yes,Electronic check,Yes,0,No,No,Yes,22,1206.05
No,One year,4021,Yes,No,Male,DSL,34.05,No phone service,No,Yes,No,No,Credit card (automatic),No,0,No,No,Yes,33,1113.95
No,Month-to-month,4022,No,No internet service,Male,No,19.95,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,5,107.05
No,Month-to-month,4023,No,No internet service,Female,No,19.95,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,2,38.15
No,Two year,4024,Yes,Yes,Male,DSL,89.7,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,6339.3
No,Month-to-month,4025,Yes,No internet service,Male,No,20.4,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,9,184.1
No,Two year,4026,Yes,No internet service,Male,No,26.3,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,67,1688.9
Yes,Month-to-month,4027,No,No,Female,Fiber optic,84.95,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,Yes,No,16,1378.25
No,Month-to-month,4028,No,No internet service,Female,No,20.7,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,8,137.6
Yes,Month-to-month,4029,No,Yes,Male,DSL,43.25,No phone service,Yes,Yes,Yes,No,Mailed check,No,0,No,No,Yes,5,219
Yes,One year,4030,Yes,No,Male,DSL,48.35,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,No,23,1067.15
Yes,Month-to-month,4031,No,No,Male,Fiber optic,79.55,No,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,1,79.55
Yes,Month-to-month,4032,No,No,Female,Fiber optic,71.05,No,No,No,Yes,Yes,Electronic check,Yes,1,No,No,No,50,3444.85
No,Two year,4033,No,No internet service,Male,No,19.45,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,17,369.05
No,Two year,4034,No,Yes,Female,Fiber optic,110.8,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,68,7553.6
Yes,Month-to-month,4035,No,No,Male,Fiber optic,84.5,Yes,No,No,No,No,Electronic check,Yes,0,No,Yes,No,1,84.5
No,Month-to-month,4036,No,No,Female,Fiber optic,69.3,No,No,No,Yes,Yes,Electronic check,Yes,1,No,No,No,25,1813.1
No,One year,4037,No,Yes,Male,DSL,49.35,No phone service,No,Yes,Yes,No,Bank transfer (automatic),No,0,No,Yes,Yes,67,3321.35
No,One year,4038,No,No internet service,Male,No,20.35,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,32,707.5
No,One year,4039,No,No,Female,Fiber optic,105.6,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,67,7112.15
No,Two year,4040,No,Yes,Male,DSL,64.45,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,1,Yes,Yes,Yes,72,4641.1
Yes,Two year,4041,No,Yes,Male,Fiber optic,108.6,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,71,7690.9
No,Month-to-month,4042,Yes,No,Male,DSL,49.9,No,Yes,No,Yes,No,Electronic check,Yes,0,No,No,No,1,49.9
Yes,Month-to-month,4043,No,No,Male,DSL,30.3,No phone service,Yes,No,No,No,Bank transfer (automatic),No,0,No,No,No,46,1380.1
Yes,Month-to-month,4044,No,Yes,Female,DSL,30.4,No phone service,No,No,Yes,No,Electronic check,No,1,No,No,No,2,78.65
Yes,Month-to-month,4045,No,No,Female,DSL,45.4,No,No,No,Yes,No,Mailed check,Yes,0,No,No,No,1,45.4
No,One year,4046,No,Yes,Female,DSL,65.65,No,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,48,3094.65
No,One year,4047,No,Yes,Female,Fiber optic,103.3,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,61,6518.35
Yes,Month-to-month,4048,No,No,Female,Fiber optic,84.15,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,No,No,32,2585.95
No,Month-to-month,4049,No,No,Female,DSL,44.45,No,No,No,No,No,Electronic check,Yes,0,No,No,No,2,82.7
Yes,Month-to-month,4050,No,No internet service,Female,No,19.75,No,No internet service,No internet service,No,No,Electronic check,Yes,0,No internet service,No internet service,No internet service,3,58.85
Yes,Month-to-month,4051,No,No,Female,Fiber optic,85.4,No,No,No,Yes,No,Credit card (automatic),Yes,0,Yes,No,Yes,5,425.9
No,Two year,4052,Yes,Yes,Female,DSL,89.9,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,71,6342.7
No,Month-to-month,4053,No,No,Male,DSL,55.05,Yes,No,Yes,Yes,Yes,Mailed check,Yes,0,No,No,No,37,2030.75
No,Two year,4054,Yes,Yes,Male,Fiber optic,104.1,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,65,6700.05
No,One year,4055,Yes,No,Female,Fiber optic,106.6,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,67,7244.7
Yes,Month-to-month,4056,Yes,No,Male,Fiber optic,75.2,Yes,No,No,No,No,Credit card (automatic),Yes,0,No,No,No,49,3678.3
No,Two year,4057,Yes,No,Male,DSL,70.5,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,Yes,50,3486.65
No,One year,4058,Yes,No internet service,Male,No,19.6,No,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,25,411.15
Yes,One year,4059,Yes,Yes,Female,DSL,55.85,Yes,No,No,Yes,No,Mailed check,Yes,0,No,No,No,17,937.5
No,Two year,4060,Yes,No internet service,Female,No,24.05,Yes,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,64,1559.15
No,One year,4061,No,Yes,Male,DSL,38.1,No phone service,No,No,Yes,Yes,Credit card (automatic),No,0,No,Yes,No,25,970.4
Yes,Month-to-month,4062,No,Yes,Male,Fiber optic,106.4,Yes,Yes,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,23,2483.5
No,Month-to-month,4063,No,Yes,Male,DSL,34.25,No phone service,No,No,No,Yes,Mailed check,No,1,No,No,Yes,24,828.2
No,Month-to-month,4064,No,Yes,Female,Fiber optic,100.05,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,37,3810.55
No,Month-to-month,4065,No,No,Female,Fiber optic,68.65,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,21,1493.2
No,Month-to-month,4066,No,No,Male,DSL,45.8,No,No,No,Yes,No,Mailed check,Yes,0,No,No,No,1,45.8
No,Month-to-month,4067,No,No,Female,Fiber optic,75.75,Yes,No,No,Yes,No,Mailed check,Yes,0,No,No,No,10,777.3
Yes,Month-to-month,4068,No,No,Male,Fiber optic,84.4,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,No,6,556.35
No,One year,4069,No,No,Male,Fiber optic,96.4,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,No,No,51,4911.05
No,Month-to-month,4070,No,No internet service,Female,No,20.55,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,10,187.35
No,Month-to-month,4071,No,No,Female,DSL,50.95,No phone service,Yes,Yes,No,No,Credit card (automatic),No,0,Yes,No,Yes,6,307.6
No,Two year,4072,Yes,Yes,Male,DSL,90.5,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,47,4318.35
No,One year,4073,Yes,Yes,Female,DSL,79.4,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,61,4820.55
No,Two year,4074,No,Yes,Female,DSL,58.75,No phone service,Yes,Yes,Yes,No,Bank transfer (automatic),No,0,Yes,Yes,No,52,3038.55
No,Month-to-month,4075,Yes,No,Female,DSL,59.45,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,No,35,2136.9
No,One year,4076,No,Yes,Male,Fiber optic,105.7,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,71,7472.15
Yes,Month-to-month,4077,No,No,Female,DSL,56.25,No,Yes,Yes,No,No,Electronic check,Yes,0,No,No,No,6,389.1
No,Two year,4078,No,Yes,Male,DSL,53.3,No,No,Yes,No,Yes,Credit card (automatic),Yes,0,No,No,No,45,2296.25
Yes,Month-to-month,4079,No,No,Female,Fiber optic,85.55,Yes,No,No,Yes,No,Electronic check,Yes,1,No,Yes,No,2,187.45
Yes,Month-to-month,4080,No,No,Female,DSL,68.65,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,4,261.25
No,Month-to-month,4081,No,No,Male,DSL,24.3,No phone service,No,No,No,No,Mailed check,No,0,No,No,No,2,38.45
Yes,Month-to-month,4082,No,No,Male,Fiber optic,77.85,No,No,No,No,No,Electronic check,Yes,0,No,Yes,No,4,299.2
No,One year,4083,No,No,Male,DSL,59.9,Yes,No,Yes,No,No,Credit card (automatic),Yes,0,No,No,Yes,51,3043.6
No,One year,4084,Yes,No internet service,Male,No,23.95,Yes,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,60,1506.4
No,One year,4085,No,No internet service,Male,No,20.15,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,9,163.7
Yes,Month-to-month,4086,No,Yes,Male,Fiber optic,105.35,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,3,323.25
No,Month-to-month,4087,No,Yes,Male,Fiber optic,95.65,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,17,1640
Yes,Month-to-month,4088,No,No,Female,Fiber optic,87.05,Yes,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,8,762.1
No,Two year,4089,Yes,Yes,Male,DSL,81.0,No,No,Yes,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,46,3846.35
No,Two year,4090,No,Yes,Female,DSL,82.45,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,68,5646.6
Yes,Month-to-month,4091,No,No,Male,DSL,53.5,No,No,No,Yes,No,Mailed check,Yes,0,No,Yes,No,1,53.5
No,One year,4092,No,No internet service,Female,No,20.5,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,4,79.05
Yes,Month-to-month,4093,No,No,Female,DSL,25.1,No phone service,No,No,Yes,No,Mailed check,No,0,No,No,No,1,25.1
No,One year,4094,Yes,No,Male,DSL,54.4,No,Yes,No,Yes,No,Credit card (automatic),Yes,0,No,No,Yes,28,1516.6
No,One year,4095,No,No,Female,DSL,58.6,No,Yes,No,Yes,No,Credit card (automatic),Yes,0,No,Yes,No,39,2224.5
No,Month-to-month,4096,No,Yes,Male,Fiber optic,84.8,No,No,No,No,No,Electronic check,Yes,0,Yes,No,No,11,888.75
No,Two year,4097,No,Yes,Female,DSL,61.4,No phone service,Yes,No,Yes,Yes,Credit card (automatic),No,0,Yes,Yes,Yes,71,4310.35
No,Month-to-month,4098,Yes,No internet service,Male,No,20.4,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,2,42.9
Yes,Month-to-month,4099,No,Yes,Male,Fiber optic,79.65,No,Yes,No,Yes,Yes,Mailed check,Yes,1,No,No,No,30,2365.15
No,One year,4100,No,No internet service,Female,No,20.15,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,17,353.65
No,Month-to-month,4101,No,Yes,Female,Fiber optic,94.45,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,No,55,5073.1
No,Month-to-month,4102,No,No,Female,Fiber optic,79.8,Yes,No,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,58,4526.85
Yes,Month-to-month,4103,No,No,Female,DSL,54.2,No,No,Yes,No,No,Electronic check,Yes,0,No,No,Yes,5,308.25
Yes,Month-to-month,4104,No,No internet service,Female,No,19.45,No,No internet service,No internet service,Yes,No,Electronic check,Yes,1,No internet service,No internet service,No internet service,1,19.45
No,Month-to-month,4105,No,No,Male,Fiber optic,74.05,Yes,No,No,Yes,No,Electronic check,Yes,1,No,No,No,9,678.45
No,Month-to-month,4106,No,No,Male,DSL,49.15,No,No,No,No,No,Bank transfer (automatic),Yes,0,No,No,Yes,26,1237.3
No,Two year,4107,No,No internet service,Female,No,19.4,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,50,1023.95
No,Two year,4108,No,Yes,Female,Fiber optic,113.65,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,8182.75
No,One year,4109,Yes,No,Female,Fiber optic,106.0,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,43,4532.3
No,Two year,4110,No,No internet service,Male,No,25.95,Yes,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,56,1444.05
No,Month-to-month,4111,No,No internet service,Female,No,19.1,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,19.1
Yes,Two year,4112,Yes,Yes,Male,Fiber optic,103.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,72,7372.65
No,Two year,4113,No,No,Male,Fiber optic,100.55,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,72,7325.1
No,Month-to-month,4114,No,No,Male,Fiber optic,95.4,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,36,3474.2
No,Month-to-month,4115,No,Yes,Male,DSL,75.15,No,No,No,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,5,392.65
Yes,Month-to-month,4116,No,Yes,Female,Fiber optic,84.45,Yes,Yes,No,Yes,No,Electronic check,Yes,0,No,No,No,13,1058.6
No,One year,4117,No,Yes,Female,Fiber optic,89.15,No,Yes,No,No,No,Credit card (automatic),Yes,1,Yes,No,No,44,3990.75
No,One year,4118,Yes,Yes,Female,Fiber optic,107.9,Yes,Yes,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,Yes,70,7475.85
No,One year,4119,No,No internet service,Male,No,19.5,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,44,835.5
Yes,Month-to-month,4120,No,No,Female,Fiber optic,85.95,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,1,No,Yes,No,32,2628.6
No,Two year,4121,No,No internet service,Female,No,24.95,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,69,1718.35
Yes,Month-to-month,4122,No,No,Female,DSL,59.4,No,No,No,No,No,Electronic check,Yes,1,No,Yes,Yes,16,1023.9
No,One year,4123,Yes,No internet service,Male,No,19.5,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,1,No internet service,No internet service,No internet service,68,1193.55
No,Month-to-month,4124,No,No,Male,Fiber optic,69.95,No,No,No,Yes,No,Credit card (automatic),Yes,0,No,No,No,16,1205.5
No,Two year,4125,Yes,No,Male,DSL,82.85,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,68,5776.45
No,Month-to-month,4126,No,No internet service,Male,No,19.0,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,4,78.9
No,Month-to-month,4127,Yes,No,Female,DSL,38.85,No phone service,Yes,Yes,No,Yes,Credit card (automatic),No,0,No,No,Yes,26,1025.15
Yes,Month-to-month,4128,No,No,Female,DSL,30.6,No phone service,Yes,No,Yes,No,Electronic check,No,0,No,No,No,29,856.35
No,Month-to-month,4129,Yes,No internet service,Male,No,20.35,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,5,122
No,One year,4130,No,Yes,Male,Fiber optic,95.0,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,70,6602.9
No,One year,4131,No,No,Male,DSL,74.4,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,24,1712.9
No,Two year,4132,No,Yes,Female,DSL,78.45,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,1,Yes,No,Yes,72,5682.25
No,Month-to-month,4133,No,No,Male,Fiber optic,74.3,No,No,No,Yes,No,Mailed check,Yes,0,No,No,Yes,1,74.3
No,One year,4134,No,Yes,Male,DSL,51.05,No phone service,Yes,No,Yes,Yes,Bank transfer (automatic),No,0,Yes,No,Yes,70,3635.15
No,Month-to-month,4135,Yes,No internet service,Female,No,19.2,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,36,702.9
Yes,Month-to-month,4136,No,No,Female,Fiber optic,99.55,Yes,No,No,Yes,No,Electronic check,Yes,1,Yes,Yes,Yes,38,3734.25
Yes,Month-to-month,4137,No,No,Female,Fiber optic,70.0,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,17,1144.5
No,One year,4138,Yes,Yes,Female,Fiber optic,109.1,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,41,4454.25
Yes,Month-to-month,4139,No,No,Female,DSL,45.3,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,1,45.3
Yes,Month-to-month,4140,No,No,Male,DSL,29.85,No phone service,No,No,No,No,Bank transfer (automatic),No,0,No,No,Yes,2,75.6
No,Month-to-month,4141,No,Yes,Male,Fiber optic,76.45,No,No,No,No,No,Electronic check,Yes,0,No,No,No,14,1117.55
Yes,Month-to-month,4142,No,Yes,Male,Fiber optic,95.1,No,Yes,No,Yes,No,Credit card (automatic),Yes,1,Yes,No,Yes,2,180.25
Yes,Month-to-month,4143,No,No internet service,Male,No,19.8,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,19.8
No,Month-to-month,4144,Yes,Yes,Male,DSL,72.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,No,Yes,Yes,13,930.05
No,Month-to-month,4145,No,No internet service,Male,No,18.95,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,6,110.15
Yes,Month-to-month,4146,No,No,Female,Fiber optic,76.65,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,4,333.6
Yes,Month-to-month,4147,Yes,No,Female,Fiber optic,99.15,No,Yes,No,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,5,465.05
No,Month-to-month,4148,No,Yes,Female,Fiber optic,101.75,No,No,Yes,No,Yes,Electronic check,Yes,0,Yes,Yes,No,15,1669.4
No,Month-to-month,4149,No,No,Female,Fiber optic,75.45,No,No,Yes,No,No,Credit card (automatic),Yes,0,No,No,No,47,3545.1
No,Month-to-month,4150,No,Yes,Female,DSL,64.1,No,No,No,No,No,Mailed check,Yes,0,Yes,No,Yes,8,504.05
No,Month-to-month,4151,No,No,Male,DSL,25.65,No phone service,No,No,Yes,No,Mailed check,No,0,No,No,No,17,440.2
No,Month-to-month,4152,Yes,No,Male,Fiber optic,75.1,No,No,Yes,No,Yes,Mailed check,Yes,0,No,No,No,15,1151.55
No,One year,4153,No,Yes,Female,Fiber optic,95.85,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,26,2475.35
No,Month-to-month,4154,No,No,Female,DSL,54.4,Yes,No,Yes,No,No,Electronic check,Yes,0,No,No,No,23,1249.25
No,Month-to-month,4155,No,No,Female,Fiber optic,72.75,No,Yes,No,No,No,Electronic check,Yes,1,No,No,No,4,317.75
No,One year,4156,Yes,No internet service,Male,No,19.85,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,29,535.05
No,Month-to-month,4157,No,No internet service,Female,No,19.05,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,25,461.3
Yes,Month-to-month,4158,No,No,Male,DSL,44.95,No,No,No,No,No,Mailed check,Yes,0,No,No,No,9,431
Yes,Month-to-month,4159,No,Yes,Male,DSL,49.55,No,No,No,Yes,Yes,Mailed check,Yes,0,No,No,No,18,878.35
No,Month-to-month,4160,No,No,Male,Fiber optic,94.85,Yes,No,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,3,335.75
No,Two year,4161,Yes,Yes,Female,DSL,46.25,No phone service,Yes,Yes,No,Yes,Bank transfer (automatic),No,0,No,No,Yes,69,3121.4
No,One year,4162,No,No internet service,Male,No,19.35,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,14,324.8
No,Month-to-month,4163,No,No,Male,DSL,69.6,Yes,No,No,No,No,Mailed check,Yes,0,Yes,Yes,No,19,1394.55
No,Month-to-month,4164,No,No,Male,Fiber optic,90.7,Yes,Yes,No,No,No,Electronic check,Yes,1,Yes,No,No,39,3413.25
No,Month-to-month,4165,No,Yes,Male,Fiber optic,101.4,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,31,3143.65
No,One year,4166,Yes,No internet service,Male,No,20.25,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,24,439.75
No,Month-to-month,4167,No,No,Male,DSL,48.8,No,No,No,No,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,14,664.4
No,Two year,4168,No,Yes,Female,DSL,74.35,No,Yes,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,64,4759.55
No,One year,4169,No,No internet service,Female,No,19.35,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,50,1033
No,One year,4170,Yes,Yes,Male,DSL,68.75,No,Yes,No,Yes,Yes,Electronic check,Yes,0,No,Yes,Yes,52,3482.85
No,One year,4171,No,No,Male,Fiber optic,100.2,Yes,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,No,28,2688.45
No,Two year,4172,No,No internet service,Female,No,20.85,No,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,21,435.25
Yes,Month-to-month,4173,Yes,No,Male,Fiber optic,95.9,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,25,2448.75
No,One year,4174,No,No internet service,Female,No,19.35,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,17,307
No,One year,4175,No,No,Male,DSL,45.0,No phone service,No,No,Yes,Yes,Credit card (automatic),No,0,Yes,Yes,No,58,2689.35
Yes,Month-to-month,4176,No,No,Male,Fiber optic,81.5,No,No,No,No,Yes,Bank transfer (automatic),Yes,1,Yes,No,No,17,1329.2
No,Two year,4177,No,No internet service,Female,No,25.5,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,51,1281.25
No,Two year,4178,Yes,Yes,Male,DSL,48.9,No phone service,No,Yes,No,Yes,Mailed check,No,0,No,Yes,Yes,72,3527
Yes,Month-to-month,4179,No,No,Male,Fiber optic,84.1,No,No,Yes,No,Yes,Electronic check,Yes,0,No,Yes,No,52,4348.65
No,Two year,4180,No,No internet service,Female,No,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,27,561.15
No,Month-to-month,4181,No,No internet service,Female,No,20.0,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,3,63.6
